Source,Target
as,soon
soon,as
as,the
the,idea
idea,of
of,the
the,flood
flood,had
had,subsided
subsided,a
a,hare
hare,stopped
stopped,among
among,the
the,clover
clover,and
and,the
the,moving
moving,flower-bells
flower-bells,and
and,said
said,its
its,prayer
prayer,to
to,the
the,rainbow
rainbow,through
through,the
the,spider
spider,'s
's,web
web,oh
oh,the
the,precious
precious,stones
stones,hiding
hiding,the
the,flowers
flowers,looking
looking,round
round,already
already,in
in,the
the,dirty
dirty,main
main,street
street,the
the,stalls
stalls,were
were,set
set,up
up,and
and,the
the,boats
boats,were
were,dragged
dragged,towards
towards,the
the,sea
sea,moving
moving,up
up,in
in,shelves
shelves,as
as,in
in,old
old,prints
prints,at
at,bluebeard
bluebeard,'s
's,blood
blood,flowed
flowed,in
in,abattoirs
abattoirs,in
in,circuses
circuses,where
where,the
the,seal
seal,of
of,god
god,blanched
blanched,the
the,windows
windows,blood
blood,and
and,milk
milk,flowed
flowed,beavers
beavers,built
built,in
in,bars
bars,and
and,cafes
cafes,fierce
fierce,coffees
coffees,steamed
steamed,in
in,the
the,great
great,house
house,of
of,window-panes
window-panes,still
still,running
running,with
with,water
water,the
the,children
children,in
in,mourning
mourning,looked
looked,at
at,the
the,marvellous
marvellous,pictures
pictures,a
a,door
door,slammed
slammed,shut
shut,and
and,on
on,the
the,village
village,square
square,the
the,child
child,whirled
whirled,his
his,arms
arms,recognized
recognized,by
by,weathervanes
weathervanes,and
and,steeplecocks
steeplecocks,everywhere
everywhere,under
under,the
the,brilliant
brilliant,sudden
sudden,shower
shower,madame
madame,***
***,installed
installed,a
a,piano
piano,in
in,the
the,alps
alps,mass
mass,and
and,first
first,communions
communions,were
were,celebrated
celebrated,at
at,the
the,cathedrals
cathedrals,hundred
hundred,thousand
thousand,altars
altars,the
the,caravans
caravans,departed
departed,and
and,the
the,hotel
hotel,splendide
splendide,was
was,built
built,in
in,the
the,chaos
chaos,of
of,ice
ice,and
and,polar
polar,night
night,from
from,then
then,on
on,the
the,moon
moon,heard
heard,jackals
jackals,howling
howling,across
across,the
the,deserts
deserts,of
of,thyme
thyme,and
and,eclogues
eclogues,in
in,their
their,wooden
wooden,shoes
shoes,grumbling
grumbling,in
in,the
the,orchard
orchard,then
then,in
in,the
the,violet
violet,budding
budding,grove
grove,eucharis*
eucharis*,told
told,me
me,it
it,was
was,spring
spring,surge
surge,up
up,pond
pond,foam
foam,roll
roll,across
across,the
the,bridge
bridge,over
over,the
the,woods
woods,black
black,drapes
drapes,and
and,organs
organs,lightnings
lightnings,thunder
thunder,rise
rise,and
and,roll
roll,waters
waters,and
and,sorrows
sorrows,rise
rise,and
and,heighten
heighten,the
the,floods
floods,for
for,since
since,they
they,have
have,dispersed
dispersed,oh
oh,the
the,precious
precious,stones
stones,burying
burying,themselves
themselves,and
and,the
the,opened
opened,flowers
flowers,all
all,excitement
excitement,has
has,gone
gone,and
and,the
the,queen
queen,the
the,witch
witch,who
who,lights
lights,her
her,charcoal
charcoal,fire
fire,in
in,the
the,earthen
earthen,pot
pot,will
will,never
never,deign
deign,to
to,tell
tell,us
us,what
what,she
she,knows
knows,and
and,we
we,do
do,not
not,this
this,idol
idol,dark
dark,eyes
eyes,yellow
yellow,mane
mane,no
no,family
family,or
or,court
court,nobler
nobler,than
than,fables
fables,mexican
mexican,and
and,flemish
flemish,his
his,domain
domain,insolent
insolent,azure
azure,and
and,green
green,runs
runs,over
over,beaches
beaches,bearing
bearing,fierce
fierce,greek
greek,and
and,slav
slav,and
and,celtic
celtic,names
names,given
given,them
them,by
by,waves
waves,with
with,no
no,ships
ships,at
at,the
the,forest
forest,edge
edge,dream
dream,flowers
flowers,tinkle
tinkle,splinter
splinter,flare
flare,the
the,orange-lip
orange-lip,girl
girl,knees
knees,crossed
crossed,in
in,the
the,clear
clear,flood
flood,welling
welling,from
from,the
the,meadows
meadows,nakedness
nakedness,shaded
shaded,traversed
traversed,and
and,costumed
costumed,by
by,the
the,rainbows
rainbows,flora
flora,sea
sea,ladies
ladies,promenading
promenading,on
on,terraces
terraces,next
next,to
to,the
the,sea
sea,little
little,girls
girls,and
and,giantesses
giantesses,superb
superb,black
black,women
women,in
in,grey-green
grey-green,moss
moss,jewels
jewels,tall
tall,on
on,the
the,rich
rich,soil
soil,of
of,the
the,unfrozen
unfrozen,little
little,gardens
gardens,and
and,groves
groves,young
young,mothers
mothers,big
big,sisters
sisters,their
their,eyes
eyes,deep
deep,with
with,pilgrimage
pilgrimage,sultans
sultans,wives
wives,princesses
princesses,of
of,tyrannical
tyrannical,demeanour
demeanour,and
and,dress
dress,little
little,foreign
foreign,girls
girls,people
people,full
full,of
of,soft
soft,unhappiness
unhappiness,wearisome
wearisome,the
the,hour
hour,of
of,feeling
feeling,and
and,fondnesses
fondnesses,that
that,'s
's,her
her,the
the,little
little,dead
dead,girl
girl,behind
behind,the
the,rose-bushes
rose-bushes,the
the,deceased
deceased,young
young,mamma
mamma,descends
descends,the
the,flight
flight,of
of,steps
steps,the
the,cousin's
cousin's,carriage
carriage,grates
grates,along
along,the
the,sand
sand,the
the,little
little,brother
brother,away
away,in
in,the
the,indies
indies,there
there,against
against,the
the,sunset
sunset,in
in,the
the,meadow
meadow,of
of,pinks
pinks,the
the,old
old,people
people,buried
buried,upright
upright,in
in,the
the,wallflower
wallflower,rampart
rampart,the
the,swarm
swarm,of
of,golden
golden,leaves
leaves,rings
rings,the
the,general
general,'s
's,residence
residence,they
they,are
are,in
in,the
the,south
south,you
you,take
take,the
the,red
red,road
road,to
to,find
find,the
the,deserted
deserted,inn
inn,the
the,chateau
chateau,is
is,up
up,for
for,sale
sale,shutters
shutters,hanging
hanging,off
off,the
the,priest
priest,no
no,doubt
doubt,has
has,removed
removed,the
the,key
key,to
to,the
the,church
church,around
around,the
the,estate
estate,the
the,wardens
wardens,lodges
lodges,are
are,unoccupied
unoccupied,the
the,fences
fences,are
are,so
so,high
high,you
you,see
see,only
only,the
the,bustling
bustling,tree-tops
tree-tops,anyway
anyway,there
there,is
is,nothing
nothing,to
to,see
see,in
in,there
there,the
the,meadows
meadows,reach
reach,up
up,to
to,hamlets
hamlets,where
where,no
no,cockerels
cockerels,are
are,no
no,anvils
anvils,the
the,sluice-gate
sluice-gate,is
is,raised
raised,oh
oh,the
the,calvaries
calvaries,and
and,the
the,mills
mills,of
of,emptiness
emptiness,the
the,islands
islands,the
the,haystacks
haystacks,magic
magic,flowers
flowers,were
were,humming
humming,the
the,slopes
slopes,cradled
cradled,him
him,fabulously
fabulously,elegant
elegant,beasts
beasts,moved
moved,about
about,the
the,clouds
clouds,were
were,gathering
gathering,over
over,the
the,high
high,sea
sea,an
an,eternity
eternity,of
of,warm
warm,tears
tears,in
in,the
