Source,Target
slowly,my
my,two
two,suitcases
suitcases,glided
glided,around
around,on
on,the
the,carousel
carousel,in
in,the
the,arrivals
arrivals,hall
hall,they
they,were
were,old
old,from
from,the
the,end
end,of
of,the
the,1960s
1960s,i
i,had
had,found
found,them
them,among
among,mom
mom,’s
’s,things
things,in
in,the
the,barn
barn,when
when,we
we,were
were,about
about,to
to,move
move,the
the,day
day,before
before,the
the,removal
removal,van
van,came
came,and
and,i
i,immediately
immediately,commandeered
commandeered,them
them,they
they,suited
suited,me
me,and
and,my
my,style
style,the
the,not-quite-contemporary
not-quite-contemporary,the
the,not-quite-streamlined
not-quite-streamlined,which
which,was
was,what
what,i
i,favored
favored,i
i,stubbed
stubbed,the
the,cigarette
cigarette,out
out,in
in,the
the,ashtray
ashtray,stand
stand,by
by,the
the,wall
wall,lifted
lifted,the
the,cases
cases,off
off,the
the,carousel
carousel,and
and,carried
carried,them
them,outside
outside,it
it,was
was,five
five,minutes
minutes,to
to,seven
seven,i
i,lit
lit,another
another,cigarette
cigarette,there
there,was
was,no
no,hurry
hurry,there
there,was
was,nothing
nothing,i
i,had
had,to
to,do
do,no
no,one
one,i
i,had
had,to
to,meet
meet,the
the,sky
sky,was
was,overcast
overcast,but
but,the
the,air
air,was
was,still
still,sharp
sharp,and
and,clear
clear,there
there,was
was,something
something,alpine
alpine,about
about,the
the,landscape
landscape,even
even,though
though,the
the,airport
airport,i
i,was
was,standing
standing,outside
outside,was
was,only
only,a
a,few
few,meters
meters,above
above,sea
sea,level
level,the
the,few
few,trees
trees,i
i,could
could,see
see,were
were,stunted
stunted,and
and,misshapen
misshapen,the
the,mountain
mountain,peaks
peaks,on
on,the
the,horizon
horizon,were
were,white
white,with
with,snow
