Source,Target
in,the
the,dirty
dirty,main
main,street
street,the
the,stalls
stalls,were
were,set
set,up
up,and
and,the
the,boats
boats,were
were,dragged
dragged,towards
towards,the
the,sea
sea,moving
moving,up
up,in
in,shelves
shelves,as
as,in
in,old
old,prints
prints,at
at,bluebeard
bluebeard,'s
's,blood
blood,flowed
flowed,in
in,abattoirs
abattoirs,in
in,circuses
circuses,where
where,the
the,seal
seal,of
of,god
god,blanched
blanched,the
the,windows
windows,blood
blood,and
and,milk
milk,flowed
flowed,beavers
beavers,built
built,in
in,bars
bars,and
and,cafes
cafes,fierce
fierce,coffees
coffees,steamed
steamed,in
in,the
the,great
great,house
house,of
of,window-panes
window-panes,still
still,running
running,with
with,water
water,the
the,children
children,in
in,mourning
mourning,looked
looked,at
at,the
the,marvellous
marvellous,pictures
pictures,a
a,door
door,slammed
slammed,shut
shut,and
and,on
on,the
the,village
village,square
square,the
the,child
child,whirled
whirled,his
his,arms
arms,recognized
recognized,by
by,weathervanes
weathervanes,and
and,steeplecocks
steeplecocks,everywhere
everywhere,under
under,the
the,brilliant
brilliant,sudden
sudden,shower
