Id,tag
send,VB
handful,JJ
dress,NN
please,NN
ass,NN
pinks,NNS
words,NNS
runs,VBZ
``,``
welling,VBG
cottage,NN
reproduced,VBD
such,JJ
infirmity,NN
poor,JJ
success,NN
drizzle,NN
key,JJ
ruts,NNS
snow,VBP
hiding,VBG
painting,VBG
rhythms,NN
chiming,VBG
heat,NN
epirus,RB
good,JJ
tears,NNS
new,JJ
pleasure,NN
mattress,NN
adored,VBD
heavens,NNS
hygienic,JJ
simplest,JJS
vexed,JJ
clearly,RB
poplars,NNS
fish,JJ
rope,VBP
reaching,VBG
departure,NN
steamed,VBD
desert,JJ
finery,NN
fangs,NNS
consider,VBP
field,NN
check,NN
appeared,VBD
next,JJ
whole,JJ
seen,VBN
imperial,JJ
birth,NN
hallowed,VBD
rooftops,NNS
venus,IN
pulleys,NNS
stranger,JJ
memory,NN
were,VBD
lightnings,NNS
drink,VB
brigands,NNS
agitated,JJ
faces,VBZ
climb,NN
contain,NN
every,DT
plantations,NNS
wife,NN
shagreened,VBD
stage,NN
poison,NN
their,PRP$
themselves,PRP
tallest,JJS
meadows,NNS
vast,VBP
know,VB
she,PRP
follow,JJ
murmur,NN
beats,NNS
splinter,VBP
canal,JJ
particularly,RB
gathered,VBN
mud,NN
produced,VBN
love,IN
spirit,NN
let,VBD
river-banks,JJ
movements,NNS
violet,VB
tract,NN
sisters,NNS
using,VBG
outskirts,NNS
rare,JJ
plains,NNS
pigeons,NNS
front,VBP
moons,NNS
four,CD
nabobs,NNS
cover,RB
blond,VBP
vicious,JJ
sink,NN
intersect,JJ
disarray,NN
spheres,VBZ
fever-pitch,JJ
wives,NNS
them,PRP
falls,VBZ
riches,NNS
bathed,VBN
like,IN
circles,NNS
tomb,VBP
dunes,NNS
built,VBN
with,IN
give,JJ
part,NN
phenomena,NN
through,IN
defiance,NN
finally,RB
celtic,JJ
ossian's*,NN
chosen,VBN
nurture,JJ
calculations,NNS
burns,NNS
sheets,NNS
impulse,JJ
single,JJ
kind,NN
dream,NN
strolling,VBG
change,NN
hurrying,VBG
'',''
milk,NN
impossible,JJ
taught,JJ
river,NN
indies,NNS
along,IN
revolutions,NNS
magical,JJ
wardens,NNS
yet,RB
brig,JJ
german,JJ
blotted,VBN
eternity,NN
enclosed,VBN
coasts,NNS
horror,VBP
silk,JJ
sets,NNS
gas-mantle,JJ
italy,JJ
streets,NNS
indolence,RB
blood,VBD
nebuchadnezzar,JJ
invisible,JJ
masts,NNS
rain,VBP
share,NN
village,NN
someone,NN
bacchanals,NNS
golden,JJ
discerned,VBD
done,VBN
seraphic,JJ
air,NN
tortures,NNS
outbuildings,VBP
swarm,NN
ground,NN
see,NN
paid,VBD
astounding,VBG
slope,NN
seeping,VBG
summoned,VBD
person,NN
exempted,VBD
howling,VBG
happiness,NN
inns,NN
completed,VBD
brooklyn,JJ
smells,NNS
woodland,VBP
sober,NNP
ways,NNS
spider,NN
slammed,VBD
place,NN
sculpted,VBN
makebelieve,CD
sunday-morning,JJ
sufficient,JJ
thought,VBD
our,PRP$
signals,NNS
princesses,VBZ
life,NN
foliage,NN
traditions,NNS
brother,VBP
trot,NN
royals,NNS
burst,VBP
beasts,NNS
start,VBP
suffocate,NN
starts,NNS
shivered,VBD
ending,VBG
road,NN
hotel,NN
descends,VBZ
usual,JJ
people,NNS
normal,JJ
elegant,JJ
suspended,VBD
stars,NNS
up,IN
the,DT
rows,NNS
yesterday,NN
pour,VBP
meeting,NN
terraces,NNS
