Id,tag
suitcases,NNS
things,NNS
before,RB
could,MD
from,IN
level,NN
carried,VBN
move,NN
misshapen,RBR
something,NN
barn,NN
sky,NN
had,VBD
about,IN
around,IN
they,PRP
out,RP
standing,VBG
still,RB
stubbed,VBN
two,CD
glided,VBD
one,CD
see,NN
trees,VBZ
only,RB
found,VBN
slowly,RB
lifted,VBN
snow,JJ
few,JJ
a,DT
and,CC
no,DT
arrivals,NNS
among,IN
my,PRP$
ashtray,NN
there,RB
landscape,VBZ
air,NN
clear,JJ
end,NN
sea,NN
hall,NN
stand,VB
what,WP
favored,VBD
commandeered,VBD
nothing,NN
when,WRB
alpine,NN
horizon,NN
not-quite-streamlined,JJ
but,CC
the,DT
style,NN
was,VBD
white,JJ
hurry,NN
sharp,JJ
to,TO
i,VB
which,WDT
carousel,NN
seven,CD
them,PRP
wall,VB
even,RB
immediately,RB
though,IN
outside,JJ
off,IN
were,VBD
meters,NNS
in,IN
meet,NN
van,NN
it,PRP
lit,VBD
day,NN
with,IN
another,DT
stunted,JJ
cases,NNS
of,IN
me,PRP
by,IN
’,NNP
suited,VBD
removal,NN
above,IN
minutes,NNS
came,VBD
we,PRP
old,JJ
mom,JJ
five,CD
mountain,NN
overcast,NN
cigarette,NN
peaks,NNS
do,VBP
airport,VB
on,IN
1960s,CD
not-quite-contemporary,JJ
